TeacherID,TeacherName,Age,Gender,Expertise,YearsOfExperience,TeacherRating,TotalEnrollments,CoursesTaught,AverageCourseRating,TotalRevenue,AverageCoursePrice,RatingStdDev,RatingConsistencyIndex,ExperienceImpactScore,EnrollmentInfluenceRatio,OverallScore
TC00001,Leonard Montgomery,44,Female,Cybersecurity,6,3.24,36,15,2.8536111111111113,2024.4,56.233333333333334,1.3136278072091105,15.762143088773751,44.9,0.21600000000000003,48.69
TC00002,Jill Day,32,Female,Digital Marketing,9,4.14,68,9,3.708823529411765,5392.98,79.3085294117647,0.9293883872544765,40.40192697592969,60.15,0.40800000000000003,67.2
TC00003,Amber Torres,32,Male,Design,4,1.56,59,15,3.107627118644068,2879.93,48.81237288135593,1.059548275548319,32.0552781112315,23.93333333333333,0.35400000000000004,39.2
TC00004,Kristi Scott,34,Female,Machine Learning,9,4.39,47,8,2.54936170212766,616.53,13.117659574468085,1.3783203455739623,11.613661486834792,62.64999999999999,0.28200000000000003,56.49
TC00005,David Williams,34,Male,Finance,2,3.11,47,18,2.7897872340425534,1508.1699999999998,32.08872340425532,1.2374948210022538,20.644256243749503,35.266666666666666,0.28200000000000003,46.58
TC00006,Rebecca Webb,49,Male,Cybersecurity,14,3.36,48,15,3.2183333333333333,2047.08,42.6475,1.3014285658678075,16.544433126252077,62.766666666666666,0.28800000000000003,55.33
TC00007,Angela Beard,28,Female,Machine Learning,6,4.36,49,9,2.5108163265306125,2119.7,43.25918367346939,1.3256159523260214,14.993389833515813,56.10000000000001,0.29400000000000004,55.44
TC00008,Steven Walker,41,Male,Data Science,15,3.54,133,9,3.267218045112782,11851.45,89.10864661654136,0.5061595648868572,67.54195003547127,66.65,0.798,67.68
TC00009,Alexander Tucker,49,Female,Project Management,2,2.22,58,15,3.1743103448275862,9835.72,169.58137931034483,1.432166941250358,8.160688127979265,26.366666666666667,0.34800000000000003,39.27
TC00010,Frances Sanchez,29,Male,Data Science,1,2.18,81,17,3.3350617283950617,5726.94,70.70296296296296,0.7046082660897297,54.81620442898749,23.883333333333336,0.48600000000000004,48.83
TC00011,Carol Edwards,37,Female,Artificial Intelligence,8,3.55,46,9,2.9563043478260873,10220.18,222.17782608695651,0.9806989767975631,37.11157785554665,52.166666666666664,0.276,56.89
TC00012,Christopher Nelson,48,Female,Cybersecurity,2,3.85,26,9,3.428846153846154,1655.15,63.659615384615385,1.22475573702866,21.46116429567907,42.666666666666664,0.156,56.5
TC00013,Brian Carrillo,35,Female,Digital Marketing,6,3.42,23,14,3.4460869565217394,817.3499999999999,35.53695652173913,1.1163077904430985,28.415510539459977,46.699999999999996,0.138,56.22
TC00014,Susan Randolph,49,Male,Project Management,3,2.45,57,13,3.0985964912280703,9745.09,170.96649122807017,1.5594269077779035,0.0,30.750000000000004,0.342,39.44
TC00015,John Armstrong,43,Male,Data Science,7,3.07,61,20,3.273606557377049,4451.16,72.96983606557377,0.8533190743344198,45.27995700995362,45.28333333333333,0.36600000000000005,56.17
TC00016,David Carlson,33,Male,Data Science,1,2.92,108,17,3.286388888888889,7610.6,70.46851851851852,0.740245549476827,52.53092364991729,31.28333333333333,0.648,54.0
TC00017,Brian Perez,36,Male,Digital Marketing,4,2.33,51,17,3.5337254901960784,2621.8599999999997,51.40901960784313,1.129907891439499,27.54338880495817,31.633333333333333,0.306,47.02
TC00018,Kari Pierce,47,Female,Project Management,11,4.28,93,8,3.246236559139785,18621.84,200.23483870967743,1.511074275199813,3.1006668114371805,65.71666666666667,0.558,58.92
TC00019,Tommy Haynes,35,Male,Digital Marketing,8,3.4,35,17,3.3271428571428574,1839.53,52.558,0.9948176641344632,36.20620119015242,50.666666666666664,0.21000000000000002,57.74
TC00020,Tara Reynolds,44,Female,Digital Marketing,10,3.23,25,14,3.8680000000000003,774.0799999999999,30.963199999999997,1.0346778886848473,33.65011957122084,53.13333333333334,0.15000000000000002,59.94
TC00021,Adam Holmes,34,Female,Machine Learning,2,3.99,51,9,2.8249019607843135,824.08,16.15843137254902,1.4179173072489377,9.074461895146413,44.06666666666667,0.306,51.52
